Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121QQ1,2006.03,6537,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2007.03,7107,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2008.03,7839,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2009.03,8546,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2010.03,9038,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2011.03,9385,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2012.03,9649,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2013.03,10022,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2014.03,10228,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2015.03,10906,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2016.03,11605,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2017.03,12229,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2018.03,13004,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
